,city,state
1581,Brooklyn ,MD
1584,Brooklyn ,WI
1586,Brookpark ,OH
1590,Brookside ,NJ
1606,Browns Summit ,NC
1607,Brownsboro ,AL
1619,Brownwood ,MO
1622,Bruceville ,TX
1636,Bryant ,IA
1638,Bryant ,WI
1640,Bryantville ,MA
1641,Bryceville ,FL
1643,Bryn Mawr ,CA
1654,Buckingham ,IA
1655,Buckingham ,PA
1662,Bucks ,AL
1672,Buena Vista ,PA
1686,Buffalo Mills ,PA
1688,Buford ,WY
1693,Bullock ,NC
1695,Bullville ,NY
1697,Bumpass ,VA
1701,Bunker Hill ,WV
1708,Burbank ,SD
1711,Burfordville ,MO
1714,Burghill ,OH
1743,Burnside ,IA
1747,Burnt Cabins ,PA
1748,Burnt Hills ,NY
1750,Burrows ,IN
1753,Burt ,NY
1758,Bushland ,TX
1761,Bushwood ,MD
1773,Butte ,MT
1778,Buxton ,OR
1782,Byfield ,MA
1784,Bynum ,NC
1795,Cable ,OH
1797,Cabot ,PA
1799,Cache Junction ,UT
1837,Callaway ,MD
1848,Camano Island ,WA
1853,Cambria Heights ,NY
1865,Camby ,IN
1873,Camden Wyoming ,DE
1875,Cameron ,MT
1881,Camp Grove ,IL
1885,Camp Lejeune ,NC
1886,Camp Pendleton ,CA
1891,Campbell Hall ,NY
1899,Canadys ,SC
1907,Candler ,NC
1909,Canehill ,AR
1915,Canoga Park ,CA
1925,Canton ,MI
1929,Canton ,PA
1932,Canton Center ,CT
1933,Cantonment ,FL
1937,Canyon Country ,CA
1943,Cape Fair ,MO
1946,Cape May Court House ,NJ
1949,Cape Porpoise ,ME
1951,Capistrano Beach ,CA
1960,Cardiff by the Sea ,CA
1961,Cardinal ,VA
1996,Carpenter ,SD
2013,Carson City ,NV
2019,Cartersville ,VA
2027,Carversville ,PA
2030,Cary/Elgin ,IL
2033,Casanova ,VA
2034,Cascade ,CO
2036,Cascade ,MD
2039,Cascade ,VA
2041,Casco ,MI
2058,Casstown ,OH
2059,Cassville ,NY
2071,Castle Creek ,NY
2075,Castleton on Hudson ,NY
2080,Cataula ,GA
2081,Cataumet ,MA
2084,Catharpin ,VA
2099,Cavour ,SD
2105,Cecil ,AL
2106,Cecil ,AR
2107,Cecil ,IN
2113,Cedar ,MN
2114,Cedar Brook ,NJ
2116,Cedar Creek ,TX
2118,Cedar Falls ,NC
2120,Cedar Grove ,TN
2125,Cedar Island ,NC
2126,Cedar Knolls ,NJ
2128,Cedar Lake ,MI
2132,Cedar Valley ,UT
2135,Cedars ,PA
2141,Cedarville ,WV
2142,Celestine ,IN
