,city,state,county,Overall,Grocery,Health,Housing,Median Home Cost,Utilities,Transportation,Miscellaneous
505,Astoria ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
509,Atascosa ,TX,,no data,no data,no data,no data,no data,no data,no data,no data
511,Atco ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
514,Athens ,GA,,no data,no data,no data,no data,no data,no data,no data,no data
523,Athens ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
530,Atkinson ,IL,,no data,no data,no data,no data,no data,no data,no data,no data
536,Atlanta ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
556,Attleboro Falls ,MA,,no data,no data,no data,no data,no data,no data,no data,no data
559,Atwood ,IN,,no data,no data,no data,no data,no data,no data,no data,no data
579,Auburndale ,MA,,no data,no data,no data,no data,no data,no data,no data,no data
589,Augusta ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
591,Augusta ,GA,,no data,no data,no data,no data,no data,no data,no data,no data
592,Augusta ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
612,Austin ,KY,,no data,no data,no data,no data,no data,no data,no data,no data
618,Austinville ,IA,,no data,no data,no data,no data,no data,no data,no data,no data
626,Avenue ,MD,,no data,no data,no data,no data,no data,no data,no data,no data
628,Avery Island ,LA,,no data,no data,no data,no data,no data,no data,no data,no data
632,Avoca ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
644,Avon by the Sea ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
647,Avondale ,AL,,no data,no data,no data,no data,no data,no data,no data,no data
655,Axtell ,TX,,no data,no data,no data,no data,no data,no data,no data,no data
656,Axton ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
659,Aylett ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
668,Bacova ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
675,Bahama ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
676,Bailey ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
678,Bailey Island ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
680,Baileyville ,IL,,no data,no data,no data,no data,no data,no data,no data,no data
689,Baker ,FL,,no data,no data,no data,no data,no data,no data,no data,no data
692,Baker ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
695,Bala Cynwyd ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
703,Baldwin Place ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
710,Ballston Lake ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
719,Banco ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
729,Banner ,WY,,no data,no data,no data,no data,no data,no data,no data,no data
731,Bannister ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
734,Bar Mills ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
737,Barboursville ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
743,Barhamsville ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
744,Barium Springs ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
747,Barksdale Afb ,LA,,no data,no data,no data,no data,no data,no data,no data,no data
749,Barnard ,SD,,no data,no data,no data,no data,no data,no data,no data,no data
750,Barnardsville ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
761,Barnstable ,MA,,no data,no data,no data,no data,no data,no data,no data,no data
773,Barrytown ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
779,Barto ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
781,Barton ,OH,,no data,no data,no data,no data,no data,no data,no data,no data
782,Barton City ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
788,Basking Ridge ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
789,Basom ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
790,Bass Harbor ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
799,Batesburg ,SC,,no data,no data,no data,no data,no data,no data,no data,no data
802,Batesville ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
809,Bath ,OH,,no data,no data,no data,no data,no data,no data,no data,no data
811,Bath ,SC,,no data,no data,no data,no data,no data,no data,no data,no data
814,Bath Springs ,TN,,no data,no data,no data,no data,no data,no data,no data,no data
821,Battleboro ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
822,Bausman ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
830,Bay Saint Louis ,MS,,no data,no data,no data,no data,no data,no data,no data,no data
840,Bayside ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
842,Bayview ,ID,,no data,no data,no data,no data,no data,no data,no data,no data
843,Bayville ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
853,Beallsville ,MD,,no data,no data,no data,no data,no data,no data,no data,no data
858,Bear Creek ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
859,Bear Creek ,WI,,no data,no data,no data,no data,no data,no data,no data,no data
868,Beaver ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
873,Beaver Dams ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
874,Beaver Falls ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
880,Beaverdam ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
901,Beech Bluff ,TN,,no data,no data,no data,no data,no data,no data,no data,no data
905,Beech Island ,SC,,no data,no data,no data,no data,no data,no data,no data,no data
907,Beechgrove ,TN,,no data,no data,no data,no data,no data,no data,no data,no data
910,Bel Alton ,MD,,no data,no data,no data,no data,no data,no data,no data,no data
911,Belcamp ,MD,,no data,no data,no data,no data,no data,no data,no data,no data
914,Belden ,MS,,no data,no data,no data,no data,no data,no data,no data,no data
917,Belews Creek ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
925,Belgrade Lakes ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
951,Belleville ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
969,Bellvue ,CO,,no data,no data,no data,no data,no data,no data,no data,no data
975,Belmont ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
981,Belmont ,WI,,no data,no data,no data,no data,no data,no data,no data,no data
985,Belsano ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
997,Ben Wheeler ,TX,,no data,no data,no data,no data,no data,no data,no data,no data
1001,Benezett ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
1013,Bent Mountain ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
1015,Bentley ,LA,,no data,no data,no data,no data,no data,no data,no data,no data
1035,Bergheim ,TX,,no data,no data,no data,no data,no data,no data,no data,no data
1038,Bergton ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
1042,Berkeley Springs ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
1055,Berlin Center ,OH,,no data,no data,no data,no data,no data,no data,no data,no data
1058,Bernard ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
1062,Bernhards Bay ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
1065,Berrien Center ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
1069,Berryton ,KS,,no data,no data,no data,no data,no data,no data,no data,no data
1073,Berwick ,IA,,no data,no data,no data,no data,no data,no data,no data,no data
1085,Bethany ,LA,,no data,no data,no data,no data,no data,no data,no data,no data
1109,Beverley Beach ,MD,,no data,no data,no data,no data,no data,no data,no data,no data
1117,Bickmore ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
1120,Biddeford Pool ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
1121,Bidwell ,OH,,no data,no data,no data,no data,no data,no data,no data,no data
1124,Big Cove Tannery ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
1129,Big Prairie ,OH,,no data,no data,no data,no data,no data,no data,no data,no data
1150,Birch Harbor ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
1153,Birchwood ,TN,,no data,no data,no data,no data,no data,no data,no data,no data
1154,Bird in Hand ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
1159,Birmingham ,OH,,no data,no data,no data,no data,no data,no data,no data,no data
1165,Bismarck ,AR,,no data,no data,no data,no data,no data,no data,no data,no data
1168,Bitely ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
1177,Black Hawk ,SD,,no data,no data,no data,no data,no data,no data,no data,no data
1180,Black River ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
1185,Blacklick ,OH,,no data,no data,no data,no data,no data,no data,no data,no data
1188,Blackstone ,IL,,no data,no data,no data,no data,no data,no data,no data,no data
1202,Blanch ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
1204,Blanchard ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
1234,Bloomingrose ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
1238,Bloomington ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
1244,Blossvale ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
1245,Blount ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
1246,Blounts Creek ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
1266,Bluemont ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
1275,Boaz ,KY,,no data,no data,no data,no data,no data,no data,no data,no data
1279,Bohannon ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
1283,Bois D Arc ,MO,,no data,no data,no data,no data,no data,no data,no data,no data
1294,Bon Secour ,AL,,no data,no data,no data,no data,no data,no data,no data,no data
1295,Bonaire ,GA,,no data,no data,no data,no data,no data,no data,no data,no data
1296,Bonanza ,UT,,no data,no data,no data,no data,no data,no data,no data,no data
1297,Boncarbo ,CO,,no data,no data,no data,no data,no data,no data,no data,no data
1298,Bondsville ,MA,,no data,no data,no data,no data,no data,no data,no data,no data
1306,Bonner ,MT,,no data,no data,no data,no data,no data,no data,no data,no data
1309,Bonnots Mill ,MO,,no data,no data,no data,no data,no data,no data,no data,no data
1315,Booneville ,IA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1328,Boring ,OR,no data,no data,no data,no data,no data,no data,no data,no data,no data
1340,Bouckville ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1349,Bovard ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1351,Bow ,WA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1361,Bowmansville ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1364,Box Springs ,GA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1372,Boyds ,MD,no data,no data,no data,no data,no data,no data,no data,no data,no data
1373,Boyers ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1378,Boynton ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1384,Brackney ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1396,Bradfordwoods ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1398,Bradley ,MI,no data,no data,no data,no data,no data,no data,no data,no data,no data
1409,Braintree ,MA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1413,Branchport ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1414,Branchton ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1415,Branchville ,IN,no data,no data,no data,no data,no data,no data,no data,no data,no data
1423,Brandt ,SD,no data,no data,no data,no data,no data,no data,no data,no data,no data
1424,Brandy Station ,VA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1430,Brant Lake ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1431,Brant Rock ,MA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1435,Brazeau ,MO,no data,no data,no data,no data,no data,no data,no data,no data,no data
1444,Breezewood ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1445,Breezy Point ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1452,Bremo Bluff ,VA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1471,Bridge Port ,IA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1474,Bridgeport ,IN,no data,no data,no data,no data,no data,no data,no data,no data,no data
1477,Bridgeport ,NJ,no data,no data,no data,no data,no data,no data,no data,no data,no data
1498,Brierfield ,AL,no data,no data,no data,no data,no data,no data,no data,no data,no data
1503,Brighton ,MA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1505,Brighton ,MO,no data,no data,no data,no data,no data,no data,no data,no data,no data
1513,Bringhurst ,IN,no data,no data,no data,no data,no data,no data,no data,no data,no data
1514,Brinkhaven ,OH,no data,no data,no data,no data,no data,no data,no data,no data,no data
1515,Brinklow ,MD,no data,no data,no data,no data,no data,no data,no data,no data,no data
1528,Bristolville ,OH,no data,no data,no data,no data,no data,no data,no data,no data,no data
1530,Bristow ,IN,no data,no data,no data,no data,no data,no data,no data,no data,no data
1532,Bristow ,VA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1537,Broad Run ,VA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1548,Brockport ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1553,Brogue ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1554,Brohman ,MI,no data,no data,no data,no data,no data,no data,no data,no data,no data
1560,Bronston ,KY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1562,Bronx ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1570,Brookfield ,OH,no data,no data,no data,no data,no data,no data,no data,no data,no data
1578,Brookline ,MO,no data,no data,no data,no data,no data,no data,no data,no data,no data
1581,Brooklyn ,MD,no data,no data,no data,no data,no data,no data,no data,no data,no data
1584,Brooklyn ,WI,no data,no data,no data,no data,no data,no data,no data,no data,no data
1586,Brookpark ,OH,no data,no data,no data,no data,no data,no data,no data,no data,no data
1590,Brookside ,NJ,no data,no data,no data,no data,no data,no data,no data,no data,no data
1606,Browns Summit ,NC,no data,no data,no data,no data,no data,no data,no data,no data,no data
1607,Brownsboro ,AL,no data,no data,no data,no data,no data,no data,no data,no data,no data
1619,Brownwood ,MO,no data,no data,no data,no data,no data,no data,no data,no data,no data
1622,Bruceville ,TX,no data,no data,no data,no data,no data,no data,no data,no data,no data
1636,Bryant ,IA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1638,Bryant ,WI,no data,no data,no data,no data,no data,no data,no data,no data,no data
1640,Bryantville ,MA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1641,Bryceville ,FL,no data,no data,no data,no data,no data,no data,no data,no data,no data
1643,Bryn Mawr ,CA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1654,Buckingham ,IA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1655,Buckingham ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1662,Bucks ,AL,no data,no data,no data,no data,no data,no data,no data,no data,no data
1672,Buena Vista ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1686,Buffalo Mills ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1688,Buford ,WY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1693,Bullock ,NC,no data,no data,no data,no data,no data,no data,no data,no data,no data
1695,Bullville ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1697,Bumpass ,VA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1701,Bunker Hill ,WV,no data,no data,no data,no data,no data,no data,no data,no data,no data
1708,Burbank ,SD,no data,no data,no data,no data,no data,no data,no data,no data,no data
