,city,state
9619,Oregonia ,OH
9632,Orkney Springs ,VA
9634,Orland ,ME
9637,Orlando East ,FL
9638,Orlando West ,FL
9648,Orrs Island ,ME
9653,Ortley ,SD
9659,Osage ,WV
9666,Osceola ,PA
9675,Osseo ,MI
9681,Osteen ,FL
9682,Osterburg ,PA
9683,Osterville ,MA
9692,Otis ,LA
9694,Otis Orchards ,WA
9695,Otisco ,IN
9698,Otley ,IA
9706,Ottsville ,PA
9709,Outing ,MN
9710,Ovalo ,TX
9733,Oxford ,FL
9741,Oxford ,NY
9744,Oxford ,WI
9755,Ozona ,FL
9759,Pacoima ,CA
9763,Paeonian Springs ,VA
9765,Paint Lick ,KY
9771,Palermo ,ME
9775,Palestine ,WV
9777,Palisades ,NY
9779,Palm ,PA
9789,Palmer ,MA
9795,Palmyra ,ME
9800,Palmyra ,PA
9809,Palos Verdes Peninsula ,CA
9818,Panhandle ,TX
9820,Panorama City ,CA
9836,Paris ,MI
9837,Paris ,OH
9843,Park City ,UT
9845,Park Hall ,MD
9854,Parker Ford ,PA
9855,Parkers Lake ,KY
9860,Parkhill ,PA
9863,Parksville ,NY
9864,Parkton ,MD
9866,Parlin ,NJ
9872,Paron ,AR
9875,Parsippany ,NJ
9881,Partlow ,VA
9902,Pattersonville ,NY
9904,Patuxent River ,MD
9906,Paulding ,IN
9907,Pauline ,SC
9921,Paxinos ,PA
9926,Payne ,IN
9927,Payneville ,KY
9932,Peace Dale ,RI
9936,Peapack ,NJ
9937,Pearcy ,AR
9944,Peck ,KS
9946,Pecks Mill ,WV
9949,Peculiar ,MO
9956,Pekin ,IN
9959,Pelham ,NC
9965,Pell Lake ,WI
9969,Pemaquid ,ME
9982,Pendleton ,NC
9984,Pendleton ,TX
9985,Pendroy ,MT
9988,Penfield ,PA
9991,Penn ,PA
9992,Penn Laird ,VA
9993,Penn Run ,PA
9995,Pennellville ,NY
10001,Penns Park ,PA
10006,Pennsylvania Furnace ,PA
10007,Penobscot ,ME
10018,Pepin ,WI
10027,Perkinsville ,NY
10028,Perkiomenville ,PA
10036,Perry ,NY
10039,Perry Park ,KY
10049,Peru ,IA
10060,Petersburg ,NY
10061,Petersburg ,OH
10075,Peytona ,WV
10076,Pfafftown ,NC
10092,Philpot ,KY
10101,Picabo ,ID
10102,Picatinny Arsenal ,NJ
10103,Picher ,OK
10107,Pickett ,WI
10110,Pickwick Dam ,TN
10137,Pilot ,VA
10147,Pine Brook ,NJ
10150,Pine City ,NY
10151,Pine Grove ,LA
10153,Pine Island ,MN
10154,Pine Island ,NY
10158,Pine Meadow ,CT
10160,Pine Mountain Valley ,GA
10171,Pineland ,SC
10174,Pinetop ,AZ
10178,Pineville ,PA
10179,Piney Flats ,TN
10181,Pingree ,ID
10186,Pinson ,TN
10187,Pinto ,MD
10190,Pipersville ,PA
10194,Pisgah Forest ,NC
10196,Pitkin ,LA
10206,Pittsfield ,ME
10211,Pittstown ,NJ
10212,Pittsview ,AL
10217,Placitas ,NM
10228,Plainfield ,WI
10230,Plainsboro ,NJ
10241,Plano ,IL
10245,Plantsville ,CT
10249,Platteville ,CO
10256,Pleasant Grove ,AL
10257,Pleasant Grove ,CA
10259,Pleasant Hall ,PA
10266,Pleasant Lake ,IN
10267,Pleasant Lake ,MI
